ReporterISO3,PartnerISO3,Year,Value chains,Temperature,value_usd,quantity_mt
MAR,EGY,2017,Potatoes,Dehydrated,588242,121.03424
LVA,EGY,2021,Potatoes,Fresh,30737,99.96
CAN,EGY,2009,Potatoes,Dehydrated,428433,99.868
BEL,MAR,2021,Potatoes,Fresh,38221,99.72
AUT,EGY,2014,Potatoes,Dehydrated,404571,99.586
EST,MAR,2011,Potatoes,Fresh,94265,99.53
ESP,MAR,2021,Potatoes,Dehydrated,187125,99.172
GBR,MAR,2019,Potatoes,Fresh,35819,99
TZA,KEN,2024,Potatoes,Fresh,12360,99
UKR,MAR,2022,Potatoes,Fresh,91941,98.858
NLD,DZA,2002,Seed Potatoes,Seed,435335,98.75
AGO,EGY,2023,Seed Potatoes,Seed,14428,98.696
ARE,EGY,2007,Potatoes,Dehydrated,65190,98.68
SVK,EGY,2015,Potatoes,Fresh,51894,98.531
BEL,MAR,2012,Potatoes,Fresh,64954,98.4
YEM,EGY,2015,Potatoes,Dehydrated,108954,99.765
TUR,EGY,2012,Potatoes,Dehydrated,261828,98.165
CAN,MAR,2012,Potatoes,Dehydrated,283011,98
TGO,MAR,2024,Potatoes,Fresh,21533,97.77
AGO,EGY,2024,Potatoes,Frozen,22128,97.59
TUN,DZA,2021,Potatoes,Dehydrated,364753,97.572
MAR,EGY,2018,Potatoes,Dehydrated,582116,123.1448
NER,DZA,2017,Potatoes,Fresh,4994,97.25
FIN,EGY,2020,Potatoes,Fresh,86913,97.13
ARG,EGY,2008,Potatoes,Dehydrated,185811,97.1
ROM,EGY,2011,Potatoes,Dehydrated,129820,106.02
TUN,EGY,2013,Potatoes,Dehydrated,400556,97.49
ESP,EGY,2018,Potatoes,Dehydrated,173950,96.79352
BGR,EGY,2022,Potatoes,Dehydrated,140593,96.711252
ITA,EGY,2024,Potatoes,Dehydrated,244261,102.315
NOR,MAR,2014,Potatoes,Fresh,77977,96.48
ESP,EGY,2013,Potatoes,Dehydrated,246805,96.374
BEL,EGY,2018,Potatoes,Dehydrated,279839,99.11394
SVN,MAR,2017,Potatoes,Fresh,6938,96.104
URY,EGY,2007,Potatoes,Dehydrated,184468,113.06
ITA,MAR,2017,Potatoes,Fresh,49664,96
FIN,EGY,2013,Potatoes,Dehydrated,304762,95.974
AUT,MAR,2010,Potatoes,Fresh,60696,95.5
MAR,EGY,2016,Potatoes,Dehydrated,558396,112.043
LUX,MAR,2015,Potatoes,Fresh,57303,95.185
PSE,EGY,2008,Potatoes,Dehydrated,373919,96.721361
MAR,EGY,2019,Potatoes,Dehydrated,600662,120.01135
GBR,EGY,2005,Potatoes,Dehydrated,135768,95.108
IND,EGY,2015,Potatoes,Dehydrated,167364,95.072
NGA,EGY,2023,Potatoes,Frozen,117790,95.0402
ISR,EGY,2024,Potatoes,Dehydrated,541000,111.477817
LBR,MAR,2019,Potatoes,Fresh,48792,94.676
EST,MAR,2021,Potatoes,Fresh,56929,94.67428
IND,EGY,2020,Potatoes,Dehydrated,204263,94.474
KWT,EGY,2022,Potatoes,Dehydrated,517236,113.067774
GEO,EGY,2022,Potatoes,Fresh,25964,94.133
AUS,EGY,2014,Potatoes,Dehydrated,389235,94.13
BEL,MAR,2013,Potatoes,Fresh,60974,94.0663
BEL,MAR,2020,Potatoes,Fresh,40790,93.72
EST,EGY,2020,Potatoes,Fresh,55061,93.6928
DNK,EGY,2012,Seed Potatoes,Seed,25430,93.6
NLD,EGY,2022,Potatoes,Fresh,55004,93.148
CZE,MAR,2009,Potatoes,Fresh,57504,92.787
MEX,EGY,2004,Potatoes,Dehydrated,55569,92.67
BEL,EGY,2002,Potatoes,Dehydrated,168494,92.647
AUS,EGY,2011,Potatoes,Dehydrated,276413,92.584
MKD,EGY,2012,Potatoes,Fresh,28916,92.5
TUR,EGY,2009,Potatoes,Dehydrated,89112,92.212
GBR,EGY,2006,Potatoes,Dehydrated,152619,92.183
POL,MAR,2005,Potatoes,Dehydrated,119171,92.145
LUX,EGY,2020,Potatoes,Fresh,43740,92.09
ZAF,EGY,2005,Potatoes,Dehydrated,137857,91.784
FRA,MAR,2017,Potatoes,Dehydrated,575510,91.555
POL,MAR,2004,Potatoes,Dehydrated,133861,91.473
MAR,EGY,2015,Potatoes,Dehydrated,508316,97.4324
FIN,MAR,2014,Potatoes,Fresh,72230,91.41
MEX,EGY,2013,Potatoes,Dehydrated,331346,90.983
AUT,MAR,2014,Potatoes,Fresh,58007,90.961
FIN,EGY,2011,Potatoes,Dehydrated,272117,90.661
ISR,EGY,2021,Potatoes,Dehydrated,364000,95.10498
DNK,EGY,2004,Potatoes,Fresh,36827,90
CHE,EGY,2019,Potatoes,Dehydrated,577859,89.855
NGA,DZA,2009,Potatoes,Dehydrated,126328,89.806
GRC,EGY,2016,Potatoes,Dehydrated,142334,89.271
CHE,MAR,2015,Potatoes,Fresh,77458,89.27
ITA,MAR,2006,Potatoes,Fresh,44613,89.025
UGA,EGY,2017,Potatoes,Frozen,95417,89.004
POL,MAR,2011,Potatoes,Frozen,93117,88.857
ESP,MAR,2023,Potatoes,Dehydrated,129587,88.837188
UKR,MAR,2013,Potatoes,Fresh,87590,88.755
KEN,EGY,2013,Potatoes,Dehydrated,115079,88.704
LVA,MAR,2016,Potatoes,Fresh,53370,88.7
POL,MAR,2009,Potatoes,Frozen,62300,88.545
BEN,MAR,2017,Potatoes,Frozen,28006,88.5
ITA,EGY,2006,Potatoes,Dehydrated,137591,88.381
GHA,EGY,2023,Potatoes,Fresh,200291,88.16
DJI,EGY,2022,Potatoes,Frozen,77919,121.7523
BFA,MAR,2022,Seed Potatoes,Seed,20979,88
SLV,EGY,2022,Potatoes,Fresh,39411,87.83
LBY,EGY,2017,Potatoes,Fresh,35316,87.814
FRA,DZA,2011,Potatoes,Fresh,42745,87.6
MRT,MAR,2014,Potatoes,Frozen,12827,87.55
UKR,EGY,2008,Potatoes,Dehydrated,257550,87.52
JPN,EGY,2008,Potatoes,Dehydrated,402443,87.457
UGA,KEN,2012,Potatoes,Dehydrated,375120,90.362
ROM,EGY,2009,Potatoes,Dehydrated,79962,87.06
GHA,EGY,2019,Potatoes,Frozen,16183,87
IRL,MAR,2007,Potatoes,Fresh,76607,86.963
HUN,EGY,2024,Potatoes,Dehydrated,361066,89.316
ISL,EGY,2020,Potatoes,Fresh,124967,86.488
BHR,EGY,2018,Seed Potatoes,Seed,20733,86.4
TGO,EGY,2023,Potatoes,Fresh,35486,86.1
SER,EGY,2009,Potatoes,Fresh,17781,85.675
NER,DZA,2020,Potatoes,Fresh,13341,85.65
UGA,KEN,2014,Potatoes,Dehydrated,369760,89.555
MRT,MAR,2016,Seed Potatoes,Seed,12268,85.58
YEM,EGY,2019,Potatoes,Dehydrated,53667,120.993
ROM,EGY,2010,Potatoes,Dehydrated,121792,101.368
CHL,EGY,2013,Potatoes,Dehydrated,164887,85.209
UGA,KEN,2024,Potatoes,Dehydrated,492893,90.9104
FRA,MAR,2012,Potatoes,Dehydrated,252812,84.85
ITA,MAR,2006,Potatoes,Dehydrated,143388,84.83
BEL,MAR,2023,Potatoes,Fresh,72370,84.69
FIN,EGY,2012,Potatoes,Dehydrated,249640,84.572
IND,EGY,2017,Potatoes,Dehydrated,123280,84.552
SDN,EGY,2009,Potatoes,Dehydrated,149381,85.024
MDA,EGY,2024,Potatoes,Frozen,83447,84.5
TUN,EGY,2016,Potatoes,Dehydrated,367528,84.276
NLD,EGY,2003,Potatoes,Dehydrated,179865,84.204
COL,EGY,2020,Potatoes,Dehydrated,137792,84.19858
OMN,EGY,2020,Seed Potatoes,Seed,62845,84.15
ZAR,MAR,2022,Potatoes,Fresh,29203,84.04
OMN,EGY,2008,Seed Potatoes,Seed,32008,84
DOM,EGY,2021,Potatoes,Frozen,79306,83.8117
SVK,EGY,2013,Potatoes,Dehydrated,247171,83.601
FRA,MAR,2003,Potatoes,Dehydrated,344946,83.6
HUN,MAR,2019,Potatoes,Fresh,38633,83.52
KAZ,EGY,2008,Potatoes,Fresh,17940,83.5
BRA,EGY,2007,Potatoes,Dehydrated,152064,83.487
JOR,EGY,2004,Potatoes,Dehydrated,63579,106.925
DOM,EGY,2024,Potatoes,Frozen,78031,83.41
BEL,EGY,2020,Potatoes,Dehydrated,240359,83.1543
SER,EGY,2014,Potatoes,Fresh,26846,83
BHR,MAR,2019,Potatoes,Fresh,39726,82.981
CHE,MAR,2009,Potatoes,Fresh,60000,82.92
DEU,MAR,2018,Potatoes,Fresh,55151,82.885
TUN,EGY,2015,Potatoes,Dehydrated,379705,82.769
EST,EGY,2017,Potatoes,Fresh,61403,82.6632
